timestamp,asset_id,equipment_type,terminal_id,zone_id,status,speed_mps,motor_current_a,active_power_kw,bag_count_per_min,total_bag_count,belt_occupancy_percent,barcode_read_rate_percent,reject_count,missorted_bag_count,jam_status,emergency_stop_status,destination_code,availability_percent,alarm_code,quality,source_mode
2026-07-15T00:00:00.000Z,BHS-CV-01,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,12,420120,30.8,99.44,0,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-CV-02,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,14,435140,30.8,98.91,1,0,false,false,SIN,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-CV-03,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,15,450150,30.8,98.79,1,0,false,false,KUL,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-CV-04,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,12,465120,30.8,99.44,0,0,false,false,HAN,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-CV-05,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,16,480160,30.8,98.43,2,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-SORT-01,sorter,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,11,495110,30.8,99.59,0,0,false,false,SIN,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-SORT-02,sorter,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,16,510160,30.8,98.5,2,0,false,false,KUL,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-SCAN-01,scanner,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,13,525130,30.8,99.31,0,0,false,false,HAN,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-SCAN-02,scanner,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,14,540140,30.8,98.97,1,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:00:00.000Z,BHS-BELT-01,baggage_belt,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,16,555160,30.8,98.7,1,0,false,false,SIN,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-CV-01,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,15,420270,30.8,98.75,1,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-CV-02,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,16,435300,30.8,98.42,0,0,false,false,SIN,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-CV-03,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,13,450280,30.8,99.22,0,0,false,false,KUL,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-CV-04,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,13,465250,30.8,99.11,1,0,false,false,HAN,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-CV-05,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,16,480320,30.8,98.63,2,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-SORT-01,sorter,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,12,495230,30.8,99.54,0,0,false,false,SIN,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-SORT-02,sorter,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,16,510320,30.8,98.4,2,0,false,false,KUL,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-SCAN-01,scanner,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,12,525250,30.8,99.55,0,0,false,false,HAN,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-SCAN-02,scanner,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,15,540290,30.8,98.6,2,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:10:00.000Z,BHS-BELT-01,baggage_belt,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,14,555300,30.8,99.15,1,0,false,false,SIN,99.8,,good,simulated
2026-07-15T00:20:00.000Z,BHS-CV-01,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,13,420400,30.8,99.19,1,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:20:00.000Z,BHS-CV-02,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,13,435430,30.8,99.12,1,0,false,false,SIN,99.8,,good,simulated
2026-07-15T00:20:00.000Z,BHS-CV-03,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,16,450440,30.8,98.52,2,0,false,false,KUL,99.8,,good,simulated
2026-07-15T00:20:00.000Z,BHS-CV-04,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,15,465400,30.8,98.64,2,0,false,false,HAN,99.8,,good,simulated
2026-07-15T00:20:00.000Z,BHS-CV-05,conveyor,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,14,480460,30.8,99.01,1,0,false,false,BKK,99.8,,good,simulated
2026-07-15T00:20:00.000Z,BHS-SORT-01,sorter,T1,BAGGAGE-HANDLING,running,1.21,13.4,5.6,13,495360,30.8,99.28,1,0,false,false,SIN,99.8,,good,simulated
