timestamp,meter_id,utility_type,terminal_id,zone_id,active_power_kw,active_energy_kwh,thermal_power_kw,thermal_energy_kwh,water_flow_m3h,water_total_m3,solar_power_kw,solar_energy_kwh,battery_soc_percent,charge_discharge_power_kw,gas_flow_m3h,gas_total_m3,maximum_demand_kw,tariff_code,tariff_mmk_per_kwh,quality,source_mode
2026-07-15T00:00:00.000Z,EM-T1-MAIN,electricity,T1,MAIN,695.6,100115.933,,,,,,,,,,,751.25,OFF_PEAK,700,good,simulated
2026-07-15T00:00:00.000Z,EM-HVAC-01,electricity,T1,MAIN,432.4,125072.067,,,,,,,,,,,466.99,OFF_PEAK,700,good,simulated
2026-07-15T00:00:00.000Z,BTU-CHW-01,thermal,T1,CENTRAL-PLANT,,,1166,150194.333,,,,,,,,,,,,good,simulated
2026-07-15T00:00:00.000Z,WM-CT-01,water,T1,UTILITY,,,,,7.74,175001.29,,,,,,,,,,good,simulated
2026-07-15T00:00:00.000Z,WM-DOMESTIC-01,water,T1,UTILITY,,,,,3.87,200000.645,,,,,,,,,,good,simulated
2026-07-15T00:00:00.000Z,SOLAR-PV-01,solar,T1,MAIN,,225000,,,,,0,225000,,,,,,,,good,simulated
2026-07-15T00:00:00.000Z,BESS-01,battery,T1,MAIN,,250000,,,,,,,74,0,,,,,,good,simulated
2026-07-15T00:00:00.000Z,GAS-GEN-01,gas,T1,MAIN,,,,,,,,,,,,275000,,,,good,simulated
2026-07-15T00:10:00.000Z,EM-T1-MAIN,electricity,T1,MAIN,695.6,100231.866,,,,,,,,,,,751.25,OFF_PEAK,700,good,simulated
2026-07-15T00:10:00.000Z,EM-HVAC-01,electricity,T1,MAIN,432.4,125144.134,,,,,,,,,,,466.99,OFF_PEAK,700,good,simulated
2026-07-15T00:10:00.000Z,BTU-CHW-01,thermal,T1,CENTRAL-PLANT,,,1166,150388.666,,,,,,,,,,,,good,simulated
2026-07-15T00:10:00.000Z,WM-CT-01,water,T1,UTILITY,,,,,7.74,175002.58,,,,,,,,,,good,simulated
2026-07-15T00:10:00.000Z,WM-DOMESTIC-01,water,T1,UTILITY,,,,,3.87,200001.29,,,,,,,,,,good,simulated
2026-07-15T00:10:00.000Z,SOLAR-PV-01,solar,T1,MAIN,,225000,,,,,0,225000,,,,,,,,good,simulated
2026-07-15T00:10:00.000Z,BESS-01,battery,T1,MAIN,,250000,,,,,,,74,0,,,,,,good,simulated
2026-07-15T00:10:00.000Z,GAS-GEN-01,gas,T1,MAIN,,,,,,,,,,,,275000,,,,good,simulated
2026-07-15T00:20:00.000Z,EM-T1-MAIN,electricity,T1,MAIN,695.6,100347.799,,,,,,,,,,,751.25,OFF_PEAK,700,good,simulated
2026-07-15T00:20:00.000Z,EM-HVAC-01,electricity,T1,MAIN,432.4,125216.201,,,,,,,,,,,466.99,OFF_PEAK,700,good,simulated
2026-07-15T00:20:00.000Z,BTU-CHW-01,thermal,T1,CENTRAL-PLANT,,,1166,150582.999,,,,,,,,,,,,good,simulated
2026-07-15T00:20:00.000Z,WM-CT-01,water,T1,UTILITY,,,,,7.74,175003.87,,,,,,,,,,good,simulated
2026-07-15T00:20:00.000Z,WM-DOMESTIC-01,water,T1,UTILITY,,,,,3.87,200001.935,,,,,,,,,,good,simulated
2026-07-15T00:20:00.000Z,SOLAR-PV-01,solar,T1,MAIN,,225000,,,,,0,225000,,,,,,,,good,simulated
2026-07-15T00:20:00.000Z,BESS-01,battery,T1,MAIN,,250000,,,,,,,74,0,,,,,,good,simulated
2026-07-15T00:20:00.000Z,GAS-GEN-01,gas,T1,MAIN,,,,,,,,,,,,275000,,,,good,simulated
2026-07-15T00:30:00.000Z,EM-T1-MAIN,electricity,T1,MAIN,695.6,100463.732,,,,,,,,,,,751.25,OFF_PEAK,700,good,simulated
2026-07-15T00:30:00.000Z,EM-HVAC-01,electricity,T1,MAIN,432.4,125288.268,,,,,,,,,,,466.99,OFF_PEAK,700,good,simulated
2026-07-15T00:30:00.000Z,BTU-CHW-01,thermal,T1,CENTRAL-PLANT,,,1166,150777.332,,,,,,,,,,,,good,simulated
2026-07-15T00:30:00.000Z,WM-CT-01,water,T1,UTILITY,,,,,7.74,175005.16,,,,,,,,,,good,simulated
2026-07-15T00:30:00.000Z,WM-DOMESTIC-01,water,T1,UTILITY,,,,,3.87,200002.58,,,,,,,,,,good,simulated
2026-07-15T00:30:00.000Z,SOLAR-PV-01,solar,T1,MAIN,,225000,,,,,0,225000,,,,,,,,good,simulated
2026-07-15T00:30:00.000Z,BESS-01,battery,T1,MAIN,,250000,,,,,,,74,0,,,,,,good,simulated
2026-07-15T00:30:00.000Z,GAS-GEN-01,gas,T1,MAIN,,,,,,,,,,,,275000,,,,good,simulated
2026-07-15T00:40:00.000Z,EM-T1-MAIN,electricity,T1,MAIN,695.6,100579.665,,,,,,,,,,,751.25,OFF_PEAK,700,good,simulated
2026-07-15T00:40:00.000Z,EM-HVAC-01,electricity,T1,MAIN,432.4,125360.335,,,,,,,,,,,466.99,OFF_PEAK,700,good,simulated
2026-07-15T00:40:00.000Z,BTU-CHW-01,thermal,T1,CENTRAL-PLANT,,,1166,150971.665,,,,,,,,,,,,good,simulated
2026-07-15T00:40:00.000Z,WM-CT-01,water,T1,UTILITY,,,,,7.74,175006.45,,,,,,,,,,good,simulated
2026-07-15T00:40:00.000Z,WM-DOMESTIC-01,water,T1,UTILITY,,,,,3.87,200003.225,,,,,,,,,,good,simulated
2026-07-15T00:40:00.000Z,SOLAR-PV-01,solar,T1,MAIN,,225000,,,,,0,225000,,,,,,,,good,simulated
2026-07-15T00:40:00.000Z,BESS-01,battery,T1,MAIN,,250000,,,,,,,74,0,,,,,,good,simulated
2026-07-15T00:40:00.000Z,GAS-GEN-01,gas,T1,MAIN,,,,,,,,,,,,275000,,,,good,simulated
2026-07-15T00:50:00.000Z,EM-T1-MAIN,electricity,T1,MAIN,695.6,100695.598,,,,,,,,,,,751.25,OFF_PEAK,700,good,simulated
